"Show.Name","Date.Year","Show.Type","Total.Gross","Number.Performances"
"987","Irving Berlin'S White Christmas '09",2010,"Musical",759048,7
"988","Jersey Boys",2010,"Musical",55578060,414
"989","La Bete '10",2010,"Play",3738636,84
"990","La Cage Aux Folles '10",2010,"Musical",21461285,288
"991","Lend Me A Tenor '10",2010,"Play",8249462,153
"992","Lombardi",2010,"Play",3476686,76
"993","Looped",2010,"Play",1262525,33
"994","Mamma Mia!",2010,"Musical",43078956,415
"995","Mary Poppins",2010,"Musical",45482824,416
"996","Memphis",2010,"Musical",38996763,416
"997","Million Dollar Quartet",2010,"Musical",19330038,296
"998","Mrs. Warren'S Profession",2010,"Play",2917482,65
"999","Next Fall",2010,"Play",3056830,132
"1000","Next To Normal",2010,"Musical",15597924,417
"1001","Present Laughter '10",2010,"Play",3071438,69
"1002","Promises, Promises",2010,"Musical",41615357,281
"1003","Race",2010,"Play",11779786,272
"1004","Ragtime '09",2010,"Musical",1334882,15
"1005","Rain: A Tribute To The Beatles On Broadway",2010,"Musical",6179225,71
"1006","Red",2010,"Play",6835696,101
"1007","Rock Of Ages",2010,"Musical",25998686,416
"1008","Shrek The Musical",2010,"Musical",1387182,8
"1009","Sondheim On Sondheim",2010,"Musical",5352642,76
"1010","South Pacific",2010,"Musical",19112884,271
"1011","Spider-Man Turn Off The Dark",2010,"Musical",4012015,0
"1012","Superior Donuts",2010,"Play",303165,8
"1013","The 39 Steps",2010,"Play",496442,16
"1014","The Addams Family",2010,"Musical",48030985,300
"1015","The Importance Of Being Earnest",2010,"Play",234644,0
"1016","The Lion King",2010,"Musical",73828966,416
"1017","The Merchant Of Venice '10",2010,"Play",9720065,38
"1018","The Miracle Worker",2010,"Play",1687067,38
"1019","The Pee-Wee Herman Show",2010,"Play",5303114,53
"1020","The Phantom Of The Opera",2010,"Musical",42237079,416
"1021","The Pitmen Painters",2010,"Play",2531130,86
"1022","The Scottsboro Boys",2010,"Musical",2750411,49
"1023","Time Stands Still",2010,"Play",8380986,153
"1024","West Side Story",2010,"Musical",40907099,416
"1025","Wicked",2010,"Musical",82893687,416
"1026","Wishful Drinking",2010,"Play",1030731,21
"1027","Women On The Verge Of A Nervous Breakdown",2010,"Musical",4442395,61
"1028","A Free Man Of Color",2011,"Play",286415,8
"1029","A Little Night Music",2011,"Musical",1365408,16
"1030","American Idiot",2011,"Musical",13740765,137
"1031","An Evening With Patti Lupone And Mandy Patinkin",2011,"Special",2366234,36
"1032","Anything Goes '11",2011,"Musical",30852059,296
"1033","Arcadia '11",2011,"Play",4881785,108
"1034","Baby It'S You!",2011,"Musical",9111694,148
"1035","Bengal Tiger At The Bagdhad Zoo",2011,"Play",7889821,108
"1036","Billy Elliot: The Musical",2011,"Musical",43286735,412
"1037","Bloody Bloody Andrew Jackson",2011,"Musical",697839,8
"1038","Bonnie And Clyde",2011,"Musical",2751166,28
"1039","Born Yesterday '11",2011,"Play",2792677,73
"1040","Brief Encounter",2011,"Play",411174,8
"1041","Catch Me If You Can",2011,"Musical",16863570,166
"1042","Chicago",2011,"Musical",27787471,412
"1043","Chinglish",2011,"Play",2896266,68
"1044","Colin Quinn: Long Story Short",2011,"Play",1832377,80
"1045","Donny & Marie: A Broadway Christmas",2011,"Special",431986,3
"1046","Driving Miss Daisy",2011,"Play",6037050,110
"1047","Elf",2011,"Musical",1344993,7
"1048","Fela!",2011,"Musical",997714,9
"1049","Follies '11",2011,"Musical",16215292,120
"1050","Ghetto Klown",2011,"Play",6179540,95
"1051","Godspell",2011,"Musical",3541401,55
"1052","Good People",2011,"Play",5925428,101
"1053","Hair '11",2011,"Musical",3453758,67
"1054","High",2011,"Play",449955,7
"1055","How To Succeed In Business Without Really Trying '11",2011,"Musical",42863016,305
"1056","Hugh Jackman, Back On Broadway",2011,"Special",12578028,52
"1057","In The Heights",2011,"Musical",2134178,16
"1058","Jersey Boys",2011,"Musical",51995523,413
"1059","Jerusalem",2011,"Play",8004618,141
"1060","Kathy Griffin Wants A Tony",2011,"Special",1021880,10
"1061","La Bete '10",2011,"Play",644222,17
"1062","La Cage Aux Folles '10",2011,"Musical",7596528,145
"1063","Lombardi",2011,"Play",5836705,168
"1064","Lysistrata Jones",2011,"Musical",809896,13
"1065","Mamma Mia!",2011,"Musical",40153800,415
"1066","Man And Boy",2011,"Play",3095607,57
"1067","Mary Poppins",2011,"Musical",45349901,411
"1068","Master Class '11",2011,"Play",3244777,67
"1069","Memphis",2011,"Musical",37991369,412
"1070","Million Dollar Quartet",2011,"Musical",9255158,193
"1071","Next To Normal",2011,"Musical",1440448,24
"1072","On A Clear Day You Can See Forever",2011,"Musical",4135166,16
"1073","Other Desert Cities",2011,"Play",5357158,61
"1074","Porgy And Bess '11",2011,"Musical",964604,0
"1075","Priscilla Queen Of The Desert",2011,"Musical",32972666,317
"1076","Private Lives '11",2011,"Play",2328466,44
"1077","Promises, Promises",2011,"Musical",1336579,8
"1078","Rain: A Tribute To The Beatles On Broadway",2011,"Musical",11835209,229
"1079","Relatively Speaking",2011,"Play",8249366,76
"1080","Rock Of Ages",2011,"Musical",15193658,330
"1081","Seminar",2011,"Play",3127098,40
"1082","Sister Act",2011,"Musical",28265017,280
"1083","Spider-Man Turn Off The Dark",2011,"Musical",70887787,220
"1084","Stick Fly",2011,"Play",1526577,21
"1085","That Championship Season",2011,"Play",8443019,97
"1086","The Addams Family",2011,"Musical",37189988,414
"1087","The Book Of Mormon",2011,"Musical",51130154,313
"1088","The House Of Blue Leaves '11",2011,"Play",5707721,72
"1089","The Importance Of Being Earnest",2011,"Play",7778281,189
"1090","The Lion King",2011,"Musical",83355347,413
"1091","The Merchant Of Venice '10",2011,"Play",5615039,35
"1092","The Motherf**Ker With The Hat",2011,"Play",10451323,112
"1093","The Mountaintop",2011,"Play",8290243,84
"1094","The Normal Heart",2011,"Play",4237705,86
"1095","The Pee-Wee Herman Show",2011,"Play",993845,9
"1096","The People In The Picture",2011,"Musical",2469422,60
"1097","The Phantom Of The Opera",2011,"Musical",44597308,414
"1098","The Road To Mecca",2011,"Play",172179,0
"1099","Time Stands Still",2011,"Play",2047055,40
"1100","Venus In Fur",2011,"Play",3214825,48
"1101","War Horse",2011,"Play",37460577,290
"1102","West Side Story",2011,"Musical",1403667,8
"1103","Wicked",2011,"Musical",86697712,413
"1104","Women On The Verge Of A Nervous Breakdown",2011,"Musical",377877,8
"1105","Wonderland",2011,"Musical",4438971,33
"1106","A Christmas Story",2012,"Musical",8172266,51
"1107","A Streetcar Named Desire '12",2012,"Play",6060065,105
"1108","An Enemy Of The People",2012,"Play",1967382,59
"1109","An Evening With Patti Lupone And Mandy Patinkin",2012,"Special",1374740,21
"1110","Annie '12",2012,"Musical",12841570,62
"1111","Anything Goes '11",2012,"Musical",16436800,225
"1112","Billy Elliot: The Musical",2012,"Musical",2571625,17
"1113","Bonnie And Clyde",2012,"Musical",526181,8
"1114","Bring It On The Musical",2012,"Musical",11410177,171
"1115","Cat On A Hot Tin Roof '12",2012,"Play",1810163,0
"1116","Chaplin",2012,"Musical",8009009,127
"1117","Chicago",2012,"Musical",30996848,422
"1118","Chinglish",2012,"Play",1429135,41
"1119","Clybourne Park",2012,"Play",8767402,157
"1120","Cyrano De Bergerac '12",2012,"Play",2369149,52
"1121","Dead Accounts",2012,"Play",2835572,36
"1122","Death Of A Salesman '12",2012,"Play",12868982,78
"1123","Don'T Dress For Dinner",2012,"Play",2130070,61
"1124","Elf '12",2012,"Musical",7460230,66
"1125","End Of The Rainbow",2012,"Play",6856068,160
"1126","Evita",2012,"Musical",48627897,305
"1127","Fela! '12",2012,"Musical",1461335,28
"1128","Follies '11",2012,"Musical",3351400,32
"1129","Frankie Valli And The Four Seasons On Broadway",2012,"Special",1404082,7
"1130","Ghost",2012,"Musical",13339472,136
"1131","Glengarry Glen Ross '12",2012,"Play",11599276,25
"1132","Godspell",2012,"Musical",7564634,209
"1133","Golden Boy",2012,"Play",1887769,29
"1134","Gore Vidal'S The Best Man '12",2012,"Play",18329754,185
"1135","Grace",2012,"Play",6060267,100
"1136","Harvey",2012,"Play",6802810,62
"1137","How To Succeed In Business Without Really Trying '11",2012,"Musical",16877748,168
"1138","Hugh Jackman, Back On Broadway",2012,"Special",2056957,9
"1139","Jersey Boys",2012,"Musical",51004550,422
"1140","Jesus Christ Superstar '12",2012,"Musical",10882991,116
"1141","Leap Of Faith",2012,"Musical",1343840,19
"1142","Lysistrata Jones",2012,"Musical",581276,17
"1143","Magic/Bird",2012,"Play",1136102,37
"1144","Mamma Mia!",2012,"Musical",40607745,422
"1145","Mary Poppins",2012,"Musical",44741159,419
"1146","Memphis",2012,"Musical",19755998,257
"1147","Mike Tyson: Undisputed Truth",2012,"Special",1204618,10
"1148","Newsies",2012,"Musical",39387135,316
"1149","Nice Work If You Can Get It",2012,"Musical",35070780,286
"1150","On A Clear Day You Can See Forever",2012,"Musical",3118013,41
"1151","Once",2012,"Musical",40415937,329
"1152","One Man, Two Guvnors",2012,"Play",13071416,159
"1153","Other Desert Cities",2012,"Play",9442703,200
"1154","Peter And The Starcatcher",2012,"Play",16263912,295
"1155","Picnic '12",2012,"Play",405388,0
"1156","Porgy And Bess '11",2012,"Musical",25416849,293
"1157","Priscilla Queen Of The Desert",2012,"Musical",15791235,209
"1158","Private Lives '11",2012,"Play",445166,9
"1159","Relatively Speaking",2012,"Play",1828161,41
"1160","Rock Of Ages",2012,"Musical",24575347,424
"1161","Running On Empty",2012,"Special",997676,8
"1162","Scandalous",2012,"Musical",1718924,29
"1163","Seminar",2012,"Play",6692594,151
"1164","Shatner'S World: We Just Live In It",2012,"Special",914006,17
"1165","Sister Act",2012,"Musical",24244220,281
"1166","Spider-Man Turn Off The Dark",2012,"Musical",78508784,423
"1167","Stick Fly",2012,"Play",2735966,72
"1168","The Addams Family",2012,"Musical",1456119,8
"1169","The Anarchist",2012,"Play",1651411,17
"1170","The Book Of Mormon",2012,"Musical",84563579,424
"1171","The Columnist",2012,"Play",3505086,86
"1172","The Heiress '12",2012,"Play",6253816,70
"1173","The Lion King",2012,"Musical",94489976,424
"1174","The Lyons",2012,"Play",2509091,80
"1175","The Mountaintop",2012,"Play",2573938,33
"1176","The Mystery Of Edwin Drood '12",2012,"Musical",3584865,56
"1177","The Other Place",2012,"Play",471389,0
"1178","The Performers",2012,"Play",737219,6
"1179","The Phantom Of The Opera",2012,"Musical",47458151,423
"1180","The Road To Mecca",2012,"Play",1910477,56
"1181","Venus In Fur",2012,"Play",6335320,143
"1182","War Horse",2012,"Play",36566633,420
"1183","Who'S Afraid Of Virginia Woolf? '12",2012,"Play",3891012,79
"1184","Wicked",2012,"Musical",96580572,427
"1185","Wit",2012,"Play",2302405,60
"1186","700 Sundays '13",2013,"Play",8106145,41
"1187","A Gentleman'S Guide To Love And Murder",2013,"Musical",4625835,50
"1188","A Night With Janis Joplin",2013,"Musical",5305494,93
"1189","A Time To Kill",2013,"Play",1720560,33
"1190","After Midnight",2013,"Musical",6377555,65
"1191","Ann",2013,"Play",5251537,132
"1192","Annie '12",2013,"Musical",44823091,417
"1193","Beautiful",2013,"Musical",4271877,0
"1194","Betrayal '13",2013,"Play",16134359,74
"1195","Big Fish",2013,"Musical",10858194,98
"1196","Breakfast At Tiffany'S",2013,"Play",2475937,38
"1197","Cat On A Hot Tin Roof '12",2013,"Play",9851040,84
"1198","Chaplin",2013,"Musical",509381,8
"1199","Chicago",2013,"Musical",31957599,416
"1200","Cinderella",2013,"Musical",45771847,345
"1201","Dead Accounts",2013,"Play",254255,8
"1202","Elf '12",2013,"Musical",696616,8
"1203","Evita",2013,"Musical",4050278,32
"1204","First Date",2013,"Musical",9455270,166
"1205","Forever Tango '13",2013,"Special",3041368,73
"1206","Glengarry Glen Ross '12",2013,"Play",2702656,20
"1207","Golden Boy",2013,"Play",1218878,24
"1208","Grace",2013,"Play",418788,8
"1209","Hands On A Hardbody",2013,"Musical",1597428,28
"1210","I'Ll Eat You Last: A Chat With Sue Mengers",2013,"Play",9561477,71
"1211","Il Divo - A Musical Affair",2013,"Special",1308223,6
"1212","Jekyll & Hyde '13",2013,"Musical",2470240,30
"1213","Jersey Boys",2013,"Musical",45576860,416
"1214","Kinky Boots",2013,"Musical",62953446,310
"1215","Let It Be",2013,"Special",2535797,46
"1216","Lucky Guy",2013,"Play",22992145,104
"1217","Macbeth '13",2013,"Play",5202863,73
"1218","Macbeth '13 (Lct)",2013,"Play",3439514,44
"1219","Machinal",2013,"Play",182072,0
"1220","Mamma Mia!",2013,"Musical",40015239,404
"1221","Manilow On Broadway",2013,"Special",4160716,25
"1222","Mary Poppins",2013,"Musical",7374514,72
"1223","Matilda",2013,"Musical",50081464,300
"1224","Motown The Musical",2013,"Musical",56887366,297
"1225","Newsies",2013,"Musical",43873554,415
"1226","Nice Work If You Can Get It",2013,"Musical",16390966,192
"1227","No Man'S Land/Waiting For Godot",2013,"Play",6200280,42
"1228","Once",2013,"Musical",42013236,415
"1229","Orphans",2013,"Play",4056117,37
"1230","Peter And The Starcatcher",2013,"Play",1434942,24
"1231","Picnic '12",2013,"Play",2004456,49
"1232","Pippin",2013,"Musical",36576303,285
"1233","Rock Of Ages",2013,"Musical",21377425,415
"1234","Romeo And Juliet",2013,"Play",6208798,93
"1235","Soul Doctor",2013,"Musical",1940459,66
"1236","Spider-Man Turn Off The Dark",2013,"Musical",57214550,415
"1237","The Assembled Parties",2013,"Play",5402056,119
"1238","The Big Knife",2013,"Play",2337664,56
"1239","The Book Of Mormon",2013,"Musical",90410251,418
"1240","The Glass Menagerie '13",2013,"Play",9841125,109
"1241","The Heiress '12",2013,"Play",3350640,47
"1242","The Lion King",2013,"Musical",96983840,420
"1243","The Mystery Of Edwin Drood '12",2013,"Musical",3606477,80
"1244","The Nance",2013,"Play",8563126,136
"1245","The Other Place",2013,"Play",2405077,61
"1246","The Phantom Of The Opera",2013,"Musical",52245597,416
"1247","The Rascals: Once Upon A Dream",2013,"Special",2245793,14
"1248","The Snow Geese",2013,"Play",2376183,60
"1249","The Testament Of Mary",2013,"Play",1279803,16
"1250","The Trip To Bountiful",2013,"Play",13498945,187
"1251","The Winslow Boy",2013,"Play",2392300,53
"1252","Twelfth Night/Richard Iii",2013,"Play",7681182,57
"1253","Vanya And Sonia And Masha And Spike",2013,"Play",13130430,189
"1254","War Horse",2013,"Play",948043,8
"1255","Who'S Afraid Of Virginia Woolf? '12",2013,"Play",2553440,63
"1256","Wicked",2013,"Musical",95278197,423
"1257","A Delicate Balance 2014",2014,"Play",8072159,44
"1258","A Gentleman'S Guide To Love And Murder",2014,"Musical",37608690,415
"1259","A Night With Janis Joplin",2014,"Musical",1929052,47
"1260","A Raisin In The Sun '14",2014,"Play",16253561,85
"1261","Act One",2014,"Play",4761068,67
"1262","After Midnight",2014,"Musical",14856797,208
"1263","Aladdin",2014,"Musical",59050162,326
"1264","All The Way",2014,"Play",19492726,131
"1265","Annie '12",2014,"Musical",1387296,8
"1266","Beautiful",2014,"Musical",58110271,402
"1267","Betrayal '13",2014,"Play",1367059,9
"1268","Bronx Bombers",2014,"Play",1212059,29
"1269","Bullets Over Broadway",2014,"Musical",18176367,156
"1270","Cabaret '14",2014,"Musical",29853769,285
"1271","Casa Valentina",2014,"Play",3028464,79
"1272","Chicago",2014,"Musical",28555240,416
"1273","Cinderella",2014,"Musical",40521527,415
"1274","Constellations",2014,"Play",710263,0
"1275","Disgraced",2014,"Play",5217801,77
"1276","First Date",2014,"Musical",563371,8
"1277","Hedwig And The Angry Inch",2014,"Musical",31265375,252
"1278","Holler If Ya Hear Me",2014,"Musical",1209478,38
"1279","Honeymoon In Vegas",2014,"Musical",2245496,0
"1280","If/Then",2014,"Musical",32458935,313
"1281","It'S Only A Play",2014,"Play",23359280,93
"1282","Jersey Boys",2014,"Musical",41136944,416
"1283","Kinky Boots",2014,"Musical",68541186,412
"1284","Lady Day At Emerson'S Bar & Grill",2014,"Play",14085440,173
"1285","Les Miserables '14",2014,"Musical",40890054,321
"1286","Love Letters 2014",2014,"Play",4124389,95
"1287","Macbeth '13 (Lct)",2014,"Play",811927,16
"1288","Machinal",2014,"Play",1941184,52
"1289","Mamma Mia!",2014,"Musical",33731824,415
"1290","Matilda",2014,"Musical",54941658,416
"1291","Mothers And Sons",2014,"Play",3558406,104
"1292","Motown The Musical",2014,"Musical",54514309,416
"1293","Newsies",2014,"Musical",25740028,273
"1294","No Man'S Land/Waiting For Godot",2014,"Play",8146230,103
"1295","Of Mice And Men",2014,"Play",15938704,118
"1296","On The Town 2014",2014,"Musical",10681894,84
"1297","Once",2014,"Musical",26909639,416
"1298","Outside Mullingar",2014,"Play",3351777,61
"1299","Pippin",2014,"Musical",31356518,416
"1300","Rock Of Ages",2014,"Musical",17886995,416
"1301","Rocky",2014,"Musical",19222100,180
"1302","Side Show 2014",2014,"Musical",4152543,48
"1303","Spider-Man Turn Off The Dark",2014,"Musical",1782904,8
"1304","The Book Of Mormon",2014,"Musical",86636296,418
"1305","The Bridges Of Madison County",2014,"Musical",6729931,100
"1306","The Country House",2014,"Play",2383928,61
"1307","The Cripple Of Inishmaan",2014,"Play",7845617,105
"1308","The Curious Incident Of The Dog In The Night-Time",2014,"Play",12572844,97
"1309","The Elephant Man 2014",2014,"Play",7105878,25
"1310","The Glass Menagerie '13",2014,"Play",4266038,64
"1311","The Illusionists - Witness The Impossible",2014,"Special",5939663,33
"1312","The Last Ship",2014,"Musical",7680935,73
"1313","The Lion King",2014,"Musical",100158794,419
"1314","The Phantom Of The Opera",2014,"Musical",48926507,415
"1315","The Real Thing 2014",2014,"Play",5752003,69
"1316","The Realistic Joneses",2014,"Play",8209761,105
"1317","The River",2014,"Play",7073958,49
"1318","The Velocity Of Autumn",2014,"Play",544617,16
"1319","This Is Our Youth",2014,"Play",6660137,124
"1320","Twelfth Night/Richard Iii",2014,"Play",6249783,56
"1321","Violet",2014,"Musical",6616618,128
"1322","Wicked",2014,"Musical",94611404,421
"1323","You Can'T Take It With You",2014,"Play",9833180,105
"1324","A Delicate Balance 2014",2015,"Play",3631438,56
"1325","A Gentleman'S Guide To Love And Murder",2015,"Musical",29489181,415
"1326","A View From The Bridge 2015",2015,"Play",4611817,53
"1327","Airline Highway",2015,"Play",1521105,53
"1328","Aladdin",2015,"Musical",81043891,417
"1329","Allegiance",2015,"Musical",5493199,57
"1330","Amazing Grace",2015,"Musical",5540127,116
"1331","An Act Of God",2015,"Play",11082666,76
"1332","An American In Paris",2015,"Musical",52190603,297
"1333","Beautiful",2015,"Musical",52677592,416
"1334","Cabaret '14",2015,"Musical",11296259,103
"1335","Chicago",2015,"Musical",30961993,414
"1336","China Doll",2015,"Play",9731966,23
"1337","Cinderella",2015,"Musical",1873246,9
"1338","Constellations",2015,"Play",5931917,76
"1339","Dames At Sea",2015,"Musical",2329147,76
"1340","Disgraced",2015,"Play",3317167,72
"1341","Doctor Zhivago",2015,"Musical",3197457,23
"1342","Fiddler On The Roof 2015",2015,"Musical",5998362,8
"1343","Finding Neverland",2015,"Musical",40966623,294
"1344","Fish In The Dark",2015,"Play",27652896,173
"1345","Fool For Love",2015,"Play",3721858,75
"1346","Fun Home",2015,"Musical",25735863,289
"1347","Gigi",2015,"Musical",7028015,86
"1348","Hamilton",2015,"Musical",37305863,165
"1349","Hand To God",2015,"Play",11708765,303
"1350","Hedwig And The Angry Inch",2015,"Musical",18994060,255
"1351","Honeymoon In Vegas",2015,"Musical",5364040,93
"1352","If/Then",2015,"Musical",7176206,88
"1353","It Shoulda Been You",2015,"Musical",7881052,135
"1354","It'S Only A Play",2015,"Play",14141686,181
"1355","Jersey Boys",2015,"Musical",35315620,417
"1356","King Charles Iii",2015,"Play",6272381,65
"1357","Kinky Boots",2015,"Musical",48828699,417
"1358","Les Miserables '14",2015,"Musical",38229188,417
"1359","Living On Love",2015,"Play",811148,16
"1360","Lord Of The Dance: Dangerous Games",2015,"Special",2746532,58
"1361","Mamma Mia!",2015,"Musical",26844028,295
"1362","Matilda",2015,"Musical",47866547,415
"1363","Misery",2015,"Play",7726999,48
"1364","Motown The Musical",2015,"Musical",3600877,25
"1365","Noises Off 2016",2015,"Play",492172,0
"1366","Old Times",2015,"Play",4039575,64
"1367","On The Town 2014",2015,"Musical",20158434,284
"1368","On The Twentieth Century",2015,"Musical",11298280,144
"1369","On Your Feet!",2015,"Musical",13924913,60
"1370","Once",2015,"Musical",967968,8
"1371","Penn & Teller On Broadway",2015,"Special",7820655,41
"1372","Pippin",2015,"Musical",907253,8
"1373","Rock Of Ages",2015,"Musical",1520888,24
"1374","School Of Rock",2015,"Musical",7124749,25
"1375","Side Show 2014",2015,"Musical",810486,8
"1376","Skylight 2015",2015,"Play",10126159,85
"1377","Something Rotten!",2015,"Musical",36863639,286
"1378","Spring Awakening 2015",2015,"Musical",6724803,104
"1379","Sylvia",2015,"Play",4061673,70
"1380","The Audience",2015,"Play",22072987,114
"1381","The Book Of Mormon",2015,"Musical",79511329,420
"1382","The Color Purple 2015",2015,"Musical",5417649,20
"1383","The Curious Incident Of The Dog In The Night-Time",2015,"Play",39250821,416
"1384","The Elephant Man 2014",2015,"Play",7611818,58
"1385","The Gin Game 2015",2015,"Play",4664478,76
"1386","The Heidi Chronicles 2015",2015,"Play",3257022,53
"1387","The Illusionists - Live On Broadway",2015,"Special",4984434,51
"1388","The Illusionists - Witness The Impossible",2015,"Special",2217405,12
"1389","The King And I 2015",2015,"Musical",39332984,293
"1390","The Last Ship",2015,"Musical",3475352,32
"1391","The Lion King",2015,"Musical",102793328,417
"1392","The Phantom Of The Opera",2015,"Musical",46843572,416
"1393","The Real Thing 2014",2015,"Play",462361,7
"1394","The River",2015,"Play",3753058,48
"1395","The Temptations And The Four Tops On Broadway",2015,"Special",819461,7
"1396","The Visit 2015",2015,"Musical",2432521,61
"1397","This Is Our Youth",2015,"Play",569187,9
"1398","Thérèse Raquin",2015,"Play",4813983,68
"1399","Wicked",2015,"Musical",90815158,420
"1400","Wolf Hall Parts One & Two",2015,"Play",9970896,103
"1401","You Can'T Take It With You",2015,"Play",3394144,64
"1402","A Gentleman'S Guide To Love And Murder",2016,"Musical",1261245,16
"1403","A View From The Bridge 2015",2016,"Play",3815450,62
"1404","Aladdin",2016,"Musical",50244575,265
"1405","Allegiance",2016,"Musical",3121415,54
"1406","American Psycho",2016,"Musical",5627480,54
"1407","An Act Of God 2016",2016,"Play",3495760,75
"1408","An American In Paris",2016,"Musical",26492185,262
"1409","Beautiful",2016,"Musical",28509122,262
"1410","Blackbird",2016,"Play",7855675,108
"1411","Bright Star",2016,"Musical",7474494,109
"1412","Cats 2016",2016,"Musical",4404457,17
"1413","Chicago",2016,"Musical",17606635,263
"1414","China Doll",2016,"Play",2898696,31
"1415","Dames At Sea",2016,"Musical",211207,9
"1416","Disaster!",2016,"Musical",4293431,72
"1417","Eclipsed",2016,"Play",5744145,121
"1418","Fiddler On The Roof 2015",2016,"Musical",28434884,263
"1419","Finding Neverland",2016,"Musical",22527315,263
"1420","Fully Committed",2016,"Play",7068657,112
"1421","Fun Home",2016,"Musical",14031232,262
"1422","Hamilton",2016,"Musical",61154027,263
"1423","Hand To God",2016,"Play",425669,8
"1424","Hughie 2016",2016,"Play",2023264,37
"1425","Jersey Boys",2016,"Musical",18706945,261
"1426","King Charles Iii",2016,"Play",3139231,38
"1427","Kinky Boots",2016,"Musical",24505316,263
"1428","Les Miserables '14",2016,"Musical",25970033,262
"1429","Long Day'S Journey Into Night 2016",2016,"Play",5153917,61
"1430","Lord Of The Dance: Dangerous Games",2016,"Special",870337,9
"1431","Matilda",2016,"Musical",27362907,263
"1432","Misery",2016,"Play",4791416,54
"1433","Motown The Musical 2016",2016,"Musical",1496081,24
"1434","Noises Off 2016",2016,"Play",4847179,67
"1435","On Your Feet!",2016,"Musical",30228753,262
"1436","Our Mother'S Brief Affair",2016,"Play",1727741,53
"1437","Paramour",2016,"Musical",16566410,94
"1438","School Of Rock",2016,"Musical",34602215,263
"1439","She Loves Me 2016",2016,"Musical",11744157,132
"1440","Shuffle Along",2016,"Musical",15174445,100
"1441","Something Rotten!",2016,"Musical",23449081,262
"1442","Spring Awakening 2015",2016,"Musical",2457353,31
"1443","Sylvia",2016,"Play",391703,9
"1444","The Book Of Mormon",2016,"Musical",45151480,265
"1445","The Color Purple 2015",2016,"Musical",24944495,262
"1446","The Crucible 2016",2016,"Play",11687115,125
"1447","The Curious Incident Of The Dog In The Night-Time",2016,"Play",14817681,262
"1448","The Father 2016",2016,"Play",3419470,78
"1449","The Gin Game 2015",2016,"Play",850136,16
"1450","The Humans",2016,"Play",11515021,189
"1451","The Illusionists - Live On Broadway",2016,"Special",1801327,13
"1452","The King And I 2015",2016,"Musical",17712069,206
"1453","The Lion King",2016,"Musical",65978349,265
"1454","The Phantom Of The Opera",2016,"Musical",29063104,263
"1455","Thérèse Raquin",2016,"Play",370028,7
"1456","Tuck Everlasting",2016,"Musical",2943941,39
"1457","Waitress",2016,"Musical",20033709,129
"1458","Wicked",2016,"Musical",57569637,265
